Name,Uncalibrated,Histogram Binning,Isotonic Regression,Temperature Scaling,Beta Calibration,BC am,BC ab
sample_100,1.1995865941746626,12.688441073555085,4.558798545910459,1.0425116161894725,1.1671795701985765,1.125354082203315,1.112079115040445
blur_100,2.908929171963492,11.232509247495068,6.3472929447682365,1.7892305638227197,1.6444937942673763,1.6258969829748902,1.7534788576161695
blur_242,2.505881413128227,13.360075123012066,6.987140673009885,1.9514730566740035,1.8742566789769464,1.803954593313651,2.377444335828639
blur_32,2.273300369870655,10.93287411544058,4.992700564360453,1.8058396811038255,1.7428020646919806,1.679452833068143,1.769882037356082
blur_376,2.282380748546085,12.106157447993755,5.158707443094916,1.6834380147481958,1.5935603628307582,1.5357066933438182,1.667748222971956
blur_498,1.7643540329123384,15.839642886933353,5.1669236745706035,1.5465611714507557,1.5855190676264466,1.532753688081478,1.6012290848830404
detail_100,1.1005413091937783,14.276670019419656,5.076066446618901,0.9831016440336114,1.0489200369113436,1.0057968092030043,1.0489661062018583
detail_242,1.4556674425553058,15.734016748666763,7.434906486798233,1.3615895031725005,1.5260687682280938,1.5541942770934354,1.515464263866759
detail_32,1.1511015884850875,13.898610885383354,3.3554835986428793,1.1020682430907618,1.1135802588104788,1.0632787501466616,1.1264195908613004
detail_376,1.3003005017704035,11.226897841758198,4.0752062046983175,1.0969229384314894,1.6324446273802056,1.212404618329666,1.123624526169151
detail_498,1.2591943013484181,13.95593503287269,4.326281279925671,1.1051835096186227,1.1306916703770145,1.112458235810304,1.1035747409738703
edge_enhance_100,1.5027517811391862,13.474503248350487,4.015649584827738,1.308687179795104,1.2690245923286096,1.2488953025651992,1.303805309358415
edge_enhance_242,2.7388798136929045,12.099174670345253,5.9376349806433755,1.8444345002828373,1.729608519313236,1.6580968613467282,1.817884989944804
edge_enhance_32,1.6408645746761532,11.533645920770036,4.940623707690587,1.4454782219820965,1.3771917141497962,1.3341141601254802,1.509936123784735
edge_enhance_376,2.8682998675115288,11.070138774737716,5.5211950823540485,2.5455295623065393,1.6873672285489738,1.7270440604972344,1.8689479654075372
edge_enhance_498,2.091940975872575,13.193123089902931,7.388179139828102,1.569558849000346,1.7381234193469088,1.7369634271599352,1.9104279681791863
sample_242,1.3680865470517893,15.89750730002092,5.752795239641435,1.3308317251239592,1.4939325852423078,1.4713620242550194,1.6423610613267454
sample_32,1.1094488592342937,13.571191562977102,3.686113925327857,1.0834223380496002,1.1101147576067079,1.0964808582264878,1.1059534585721364
sample_376,1.3123885680893763,11.599663980437649,5.8963347084978075,1.1183611142574585,1.1970867519197055,1.1781694427532623,1.2147120277117938
sample_498,1.2226981284001788,12.94395529727141,4.4847814448881484,1.1122400122234668,1.3275992748834606,1.1918516511080735,1.1382207497614176
sharp_100,1.1137020160235342,13.60390521587597,6.271846397334917,0.9970892902282018,1.520891647168836,1.0594849592275892,1.1327728180218966
sharp_242,1.6370318801275345,14.638198842406274,6.953313518967479,1.4779146243424879,1.3740466932372914,1.3787910302976767,1.7162067877480554
sharp_32,1.2369034134461092,13.208960299773349,4.251441454844963,1.1634726026142017,1.1523290878172137,1.1368025944618663,1.1891977976179786
sharp_376,1.4142477703637153,11.210385553505686,4.796101038701211,1.1806899123015724,1.2415546598751097,1.180944610278562,1.2625615282739615
sharp_498,1.448857756768088,11.52014247096247,5.089237396118955,1.2334488004109767,1.271310067191306,1.2364107048933188,1.322041601033157
smooth_100,1.7244436539939645,12.917238738023572,5.16610816810694,1.3297078954967825,1.2803905392324344,1.257033369857559,1.3518488185389692
smooth_242,1.641760955344782,14.066788184112973,7.426086588930856,1.5595854834232725,1.5199368391020431,1.5307721588595047,1.6611283328466946
smooth_32,1.2737077206400378,17.269900605529546,5.9836919176350865,1.2402096934306124,1.458554058574761,1.376973853615216,1.4050672999743579
smooth_376,1.4434000098853994,12.594945470384426,4.936341623368725,1.1893706160395716,1.279330175028493,1.1889576952650935,1.2857402585255395
smooth_498,1.2145540841144005,16.04949905808601,6.190676113477805,1.1399374740958834,1.1575720873982127,1.173315318475167,1.2900694066451655
